
Checking address: 0xdfc24b077bc1425ad1dea75bcb6f8158e10df303
  Found 0 positions.

Checking address: 0x010461c14e146ac35fe42271bdc1134ee31c703a
  Found 189 positions.
    - Coin: BTC, Size: 16.23371, Entry: 77740.5, PnL: 20527.496566
    - Coin: ETH, Size: 84.7288, Entry: 2351.93, PnL: 284.96308
    - Coin: ATOM, Size: 63661.54, Entry: 2.0083, PnL: -1448.797122
    - Coin: DYDX, Size: -403342.5, Entry: 0.14311, PnL: 3624.724785
    - Coin: SOL, Size: 12484.17, Entry: 105.2129, PnL: -5404.803786
    - Coin: AVAX, Size: 11302.77, Entry: 10.0456, PnL: 1338.207374
    - Coin: BNB, Size: 324.214, Entry: 763.874, PnL: 3360.66898
    - Coin: APE, Size: -91887.4, Entry: 0.14922, PnL: 89.474757
    - Coin: OP, Size: 236215.5, Entry: 0.23154, PnL: -312.304432
    - Coin: LTC, Size: 3374.1, Entry: 58.9003, PnL: 4638.347291
    - Coin: ARB, Size: 411886.7, Entry: 0.1371, PnL: 329.375736
    - Coin: DOGE, Size: 1657869.0, Entry: 0.105927, PnL: 4164.919466
    - Coin: INJ, Size: 36928.3, Entry: 3.62917, PnL: 2135.259506
    - Coin: SUI, Size: 212513.0, Entry: 1.12468, PnL: 5062.01779
    - Coin: kPEPE, Size: 29755489.0, Entry: 0.004291, PnL: -699.562528
    - Coin: CRV, Size: -395559.7, Entry: 0.28602, PnL: -677.589217
    - Coin: LDO, Size: -135714.4, Entry: 0.41867, PnL: -756.402386
    - Coin: LINK, Size: 1579.5, Entry: 9.93112, PnL: -73.175667
    - Coin: STX, Size: 719303.7, Entry: 0.27374, PnL: 11607.779804
    - Coin: CFX, Size: 619838.0, Entry: 0.055643, PnL: 261.544823
    - Coin: GMX, Size: -6596.19, Entry: 6.2161, PnL: -1500.096169
    - Coin: SNX, Size: 85250.9, Entry: 0.34506, PnL: 742.83856
    - Coin: XRP, Size: 145089.0, Entry: 1.626286, PnL: 2236.330647
    - Coin: BCH, Size: 144.563, Entry: 530.418, PnL: 1016.449928
    - Coin: APT, Size: 4791.69, Entry: 1.2872, PnL: -27.475497
    - Coin: AAVE, Size: -291.51, Entry: 128.9186, PnL: 124.964583
    - Coin: COMP, Size: 3243.74, Entry: 21.1654, PnL: -3621.368735
    - Coin: WLD, Size: 185324.1, Entry: 0.40025, PnL: 440.138177
    - Coin: YGG, Size: -291438.0, Entry: 0.046622, PnL: 77.263308
    - Coin: TRX, Size: 338536.0, Entry: 0.283882, PnL: -17.632556
    - Coin: kSHIB, Size: -19344604.0, Entry: 0.006776, PnL: -2245.347471
    - Coin: UNI, Size: 13206.3, Entry: 3.92401, PnL: 204.491534
    - Coin: SEI, Size: 813637.0, Entry: 0.086755, PnL: 1874.577611
    - Coin: RUNE, Size: -188698.0, Entry: 0.49068, PnL: 3544.562516
    - Coin: ZRO, Size: -49150.6, Entry: 1.80222, PnL: -298.767646
    - Coin: DOT, Size: 98229.7, Entry: 1.5529, PnL: 255.334938
    - Coin: BANANA, Size: -3999.5, Entry: 4.85227, PnL: -1074.778
    - Coin: TRB, Size: -58.69, Entry: 16.3526, PnL: 9.780294
    - Coin: FTT, Size: 25669.3, Entry: 0.39075, PnL: -591.270729
    - Coin: ARK, Size: -102655.0, Entry: 0.215753, PnL: -149.494186
    - Coin: BIGTIME, Size: -188197.0, Entry: 0.017632, PnL: -22.046895
    - Coin: KAS, Size: 1832078.0, Entry: 0.034346, PnL: -1632.742041
    - Coin: BLUR, Size: -1650672.0, Entry: 0.023866, PnL: 1662.669932
    - Coin: TIA, Size: 126658.2, Entry: 0.37112, PnL: 598.08235
    - Coin: BSV, Size: -7950.01, Entry: 17.1538, PnL: 11947.740603
    - Coin: ADA, Size: 809720.0, Entry: 0.292784, PnL: 6044.618887
    - Coin: TON, Size: -68409.8, Entry: 1.35026, PnL: -1281.930203
    - Coin: MINA, Size: 982570.0, Entry: 0.073042, PnL: -390.940986
    - Coin: POLYX, Size: -968368.0, Entry: 0.047782, PnL: -1001.71646
    - Coin: GAS, Size: 51567.4, Entry: 1.86616, PnL: 264.68372
    - Coin: PENDLE, Size: -94087.0, Entry: 1.589232, PnL: -824.943165
    - Coin: FET, Size: 750582.0, Entry: 0.187295, PnL: -1498.057358
    - Coin: NEAR, Size: -70351.8, Entry: 1.19542, PnL: -1827.196205
    - Coin: MEME, Size: -87432975.0, Entry: 0.000899, PnL: 5361.888946
    - Coin: ORDI, Size: 5110.64, Entry: 3.0964, PnL: 53.68023
    - Coin: NEO, Size: 6372.73, Entry: 3.1928, PnL: 615.915552
    - Coin: ZEN, Size: -602.31, Entry: 7.1292, PnL: 57.990825
    - Coin: FIL, Size: 178836.2, Entry: 1.1353, PnL: -10766.151604
    - Coin: PYTH, Size: 3950859.0, Entry: 0.055767, PnL: -14828.953728
    - Coin: SUSHI, Size: -89310.7, Entry: 0.24128, PnL: -235.821258
    - Coin: IMX, Size: 460400.8, Entry: 0.20106, PnL: -6522.95723
    - Coin: kBONK, Size: -4892055.0, Entry: 0.007165, PnL: -244.60076
    - Coin: GMT, Size: 4223462.0, Entry: 0.014713, PnL: -2532.684696
    - Coin: SUPER, Size: 554148.0, Entry: 0.162423, PnL: -6125.2017
    - Coin: USTC, Size: -3234467.0, Entry: 0.005627, PnL: 107.938918
    - Coin: JUP, Size: -1030088.0, Entry: 0.186166, PnL: -5442.971157
    - Coin: kLUNC, Size: 601780.0, Entry: 0.037338, PnL: -239.644615
    - Coin: RSR, Size: -14211759.0, Entry: 0.002052, PnL: 1807.722349
    - Coin: GALA, Size: -582279.0, Entry: 0.004738, PnL: -55.062372
    - Coin: JTO, Size: 231269.0, Entry: 0.292105, PnL: 1282.368165
    - Coin: ACE, Size: -198018.78, Entry: 0.2039, PnL: -200.675101
    - Coin: MAV, Size: -681865.0, Entry: 0.020183, PnL: -275.712522
    - Coin: WIF, Size: 726848.0, Entry: 0.253868, PnL: 3439.373364
    - Coin: CAKE, Size: 114406.4, Entry: 1.62779, PnL: -5903.324626
    - Coin: PEOPLE, Size: -2253924.0, Entry: 0.007701, PnL: -87.104592
    - Coin: ENS, Size: -4840.67, Entry: 6.9415, PnL: -220.134616
    - Coin: ETC, Size: -1342.34, Entry: 9.7159, PnL: -132.687799
    - Coin: XAI, Size: 4963866.2000000002, Entry: 0.01416, PnL: -10889.908435
    - Coin: MANTA, Size: 25045.4, Entry: 0.07399, PnL: -0.873607
    - Coin: UMA, Size: 121991.9, Entry: 0.61715, PnL: -5446.230065
    - Coin: ONDO, Size: 298407.0, Entry: 0.280025, PnL: 1096.398121
    - Coin: ALT, Size: 8939295.0, Entry: 0.00997, PnL: -3011.672682
    - Coin: ZETA, Size: -403095.8, Entry: 0.06043, PnL: -478.099114
    - Coin: DYM, Size: 1143851.2, Entry: 0.04983, PnL: -3108.435979
    - Coin: MAVIA, Size: -87114.2, Entry: 0.04561, PnL: -54.112541
    - Coin: W, Size: 1436272.1000000001, Entry: 0.02335, PnL: 726.497486
    - Coin: STRK, Size: -338813.5, Entry: 0.05523, PnL: -591.904649
    - Coin: TAO, Size: 265.966, Entry: 199.952, PnL: 233.493388
    - Coin: AR, Size: -34541.21, Entry: 2.5052, PnL: -632.03623
    - Coin: kFLOKI, Size: 1719908.0, Entry: 0.034866, PnL: 1415.117057
    - Coin: BOME, Size: -49862657.0, Entry: 0.000506, PnL: 1177.330759
    - Coin: ETHFI, Size: -68755.0, Entry: 0.49676, PnL: -5.614635
    - Coin: ENA, Size: -67313.0, Entry: 0.142039, PnL: 92.84053
    - Coin: MNT, Size: 113384.8, Entry: 0.71118, PnL: 3737.328606
    - Coin: TNSR, Size: -159839.0, Entry: 0.20645, PnL: 25153.512896
    - Coin: SAGA, Size: -2399801.8999999999, Entry: 0.03671, PnL: 1223.914975
    - Coin: MERL, Size: 892050.0, Entry: 0.049326, PnL: 239.825947
    - Coin: HBAR, Size: -1317119.0, Entry: 0.090757, PnL: -3383.612295
    - Coin: POPCAT, Size: -59711.0, Entry: 0.056518, PnL: 0.82483
    - Coin: EIGEN, Size: 502158.56, Entry: 0.2575, PnL: 756.470186
    - Coin: REZ, Size: 2852832.0, Entry: 0.003716, PnL: 155.543081
    - Coin: NOT, Size: 85578210.0, Entry: 0.000517, PnL: -5969.136792
    - Coin: TURBO, Size: -438569.0, Entry: 0.001253, PnL: 0.0
    - Coin: BRETT, Size: 3640112.0, Entry: 0.009564, PnL: 599.239378
    - Coin: IO, Size: -192874.5, Entry: 0.12298, PnL: -233.895475
    - Coin: ZK, Size: -2969353.0, Entry: 0.025626, PnL: -879.179122
    - Coin: BLAST, Size: -157303515.0, Entry: 0.000716, PnL: 16672.430249
    - Coin: MEW, Size: -12994244.0, Entry: 0.000718, PnL: -14.894792
    - Coin: RENDER, Size: -33126.9, Entry: 1.58471, PnL: -493.255439
    - Coin: POL, Size: 489365.0, Entry: 0.108058, PnL: 1684.003762
    - Coin: CELO, Size: 31988.0, Entry: 0.095832, PnL: -18.803336
    - Coin: HMSTR, Size: 8595857.0, Entry: 0.000191, PnL: 3.30214
    - Coin: SCR, Size: -304647.5, Entry: 0.0618, PnL: -308.561343
